Title,Artist,ArtistBio,Nationality,Continent,BeginDate,EndDate,Gender,DateProduced,Medium,DateAcquired,YearAcquired,AgeAtAcquisition,ObjectID,height,width,area,RevURL,ThumbnailURL
Horned Forms,Graham Sutherland,British,British,Europe,1903,1980,Male,1944,Oil on composition board,1946-05-07,1946,2,78922,99.7,80.9,8065.73,http://www.moma.org/collection/works/78922,http://www.moma.org/media/W1siZiIsIjE3MTkyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=82bbaba0d73a590d
St. Elmo's Fire,Enrico Donati,American,American,North America,1909,2008,Male,1944,Oil on canvas,1947-06-17,1947,3,78923,92.7,72.4,6711.48,http://www.moma.org/collection/works/78923,http://www.moma.org/media/W1siZiIsIjMyMTkwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0c3e8113db10adb4
"L_autaud, Redskin-Sorcerer",Jean Dubuffet,French,French,Europe,1901,1985,Male,1946,Oil on canvas with pebbles and gravel,1985-04-08,1985,39,78924,92.1,73,6723.3,http://www.moma.org/collection/works/78924,http://www.moma.org/media/W1siZiIsIjE1MTAwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b9c1d0e3fdbca1a9
"Venice, I",Ernest Fiene,American,American,North America,1894,1965,Male,1932,Oil on wood,1940-04-05,1940,8,78925,19.7,28.6,563.42,http://www.moma.org/collection/works/78925,http://www.moma.org/media/W1siZiIsIjIwODI3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cac910fdfeab957d
The Dessert,Milton Avery,American,American,North America,1885,1965,Male,1939,Oil on canvas,1951-05-24,1951,12,78926,71.4,91.8,6554.52,http://www.moma.org/collection/works/78926,http://www.moma.org/media/W1siZiIsIjIwODI3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e07a3b3eb1ba5498
Icarus Descended,Richard Lytle,American,American,North America,1935,0,Male,1958,Oil on canvas,1958-10-29,1958,0,78927,158.4,178.3,28242.72,http://www.moma.org/collection/works/78927,http://www.moma.org
The Glory of the Kings,Erol (Erol Akyavas),Turkish,Turkish,Europe,1932,1999,Male,1959,Oil on canvas,1961-05-16,1961,2,78928,121.8,214,26065.2,http://www.moma.org/collection/works/78928,http://www.moma.org/media/W1siZiIsIjIwODI4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c25824908a23408e
Live's,"Gilbert & George, Gilbert Proesch, George Passmore",British,British,Europe,1943,0,Male,1984,"Black and white photographs, hand-colored with ink and dyes, and aluminum foil, mounted and framed",1985-04-08,1985,1,78929,242.7,353,85673.1,http://www.moma.org/collection/works/78929,http://www.moma.org/media/W1siZiIsIjExODUxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4596f0aabb1ce596
Still Life with Flowers,Juan Gris,Spanish,Spanish,Europe,1887,1927,Male,1912,Oil on canvas,1947-06-17,1947,35,78930,112.1,70.2,7869.42,http://www.moma.org/collection/works/78930,http://www.moma.org/media/W1siZiIsIjE2MDUyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=09806e048ebf4cd3
Them and Us,Neil Jenney,American,American,North America,1945,0,Male,1969,"Synthetic polymer paint with pencil on canvas, with painted wood frame",1985-04-08,1985,16,78932,154.9,342.9,53115.21,http://www.moma.org/collection/works/78932,http://www.moma.org/media/W1siZiIsIjE2ODYxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bb01f22b55a3d33d
Grapes,Juan Gris,Spanish,Spanish,Europe,1887,1927,Male,2017,Oil on canvas,1947-06-17,1947,-70,78933,92.1,60,5526,http://www.moma.org/collection/works/78933,http://www.moma.org/media/W1siZiIsIjIxMDM3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9068e5ee7986db81
Lucky Strike,Stuart Davis,American,American,North America,1892,1964,Male,1921,Oil on canvas,1951-05-24,1951,30,78934,84.5,45.7,3861.65,http://www.moma.org/collection/works/78934,http://www.moma.org/media/W1siZiIsIjMyMjc1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7e7228cf1370688c
"New Moon, New York",George Ault,American,American,North America,1891,1948,Male,1945,Oil on canvas,1957-10-09,1957,12,78935,71.1,50.8,3611.88,http://www.moma.org/collection/works/78935,http://www.moma.org/media/W1siZiIsIjI0NjI5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2e1656c7a2b9ebf2
"Elegy to the Spanish Republic, 54",Robert Motherwell,American,American,North America,1915,1991,Male,1957,Oil on canvas,1961-05-16,1961,4,78936,178,229,40762,http://www.moma.org/collection/works/78936,http://www.moma.org/media/W1siZiIsIjE1MTAxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fd4db48a8d015ec6
Alkahest E,Gary Stephan,American,American,North America,1942,0,Male,1973,Oil on canvas,1974-03-12,1974,1,78937,144.8,234.2,33912.16,http://www.moma.org/collection/works/78937,http://www.moma.org/media/W1siZiIsIjMzOTEyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=508885e7bf8be138
The False Mirror,Rene Magritte,Belgian,Belgian,Europe,1898,1967,Male,1928,Oil on canvas,1937-12-03,1937,9,78938,54,80.9,4368.6,http://www.moma.org/collection/works/78938,http://www.moma.org/media/W1siZiIsIjI2MzUwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=62a5b8941229d5f1
The Passing Scene,Jack Levine,American,American,North America,1915,2010,Male,1941,Oil on composition board,1942-01-27,1942,1,78939,121.9,75.6,9215.64,http://www.moma.org/collection/works/78939,http://www.moma.org/media/W1siZiIsIjE3MTkyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c675a22c791e38c3
"Aspiration, Op. 145",Thomas Wilfred,American,American,North America,1889,1968,Male,1955,"Projected light on translucent glass screen duration 42 hours, 14 minutes, 11 seconds)",1961-05-16,1961,6,78941,48.9,38.1,1863.09,http://www.moma.org/collection/works/78941,http://www.moma.org
"Cloth Octagonal, 2",Richard Tuttle,American,American,North America,1941,0,Male,1967,Dyed and sewn canvas,1974-03-12,1974,7,78942,145.2,136.5,19819.8,http://www.moma.org/collection/works/78942,http://www.moma.org/media/W1siZiIsIjY0NTE5Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=fdb571fc5a04a39d
Four Color Frame Painting Number 11,Robert Mangold,American,American,North America,1937,0,Male,1985,Synthetic polymer paint and pencil on four canvases,1985-04-08,1985,0,78943,240.8,175.7,42308.56,http://www.moma.org/collection/works/78943,http://www.moma.org/media/W1siZiIsIjYxMjc1Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=c21d62aba036cce8
